__run_id,__done,generation,model_size,task
run_10_repetition_0,DONE,1,13B,COPA
run_60_repetition_22,DONE,3.2,3B,ReCoRD
run_35_repetition_24,DONE,3,8B,MultiRC
run_7_repetition_19,DONE,1,6.7B,WSC
run_16_repetition_17,DONE,2,6.7B,BoolQ
run_81_repetition_23,DONE,4-maverick,17B,CB
run_64_repetition_14,DONE,3.2,11B,BoolQ
run_41_repetition_29,DONE,3.1,8B,CB
run_35_repetition_23,DONE,3,8B,MultiRC
run_12_repetition_4,DONE,1,13B,ReCoRD
run_53_repetition_22,DONE,3.2,1B,RTE
run_81_repetition_7,DONE,4-maverick,17B,CB
run_46_repetition_18,DONE,3.1,8B,WiC
run_79_repetition_11,DONE,4-scout,17B,WSC
run_43_repetition_2,DONE,3.1,8B,MultiRC
run_3_repetition_10,DONE,1,6.7B,MultiRC
run_54_repetition_13,DONE,3.2,1B,WiC
run_59_repetition_25,DONE,3.2,3B,MultiRC
run_23_repetition_6,DONE,2,6.7B,WSC
run_55_repetition_10,DONE,3.2,1B,WSC
run_42_repetition_7,DONE,3.1,8B,COPA
run_0_repetition_23,DONE,1,6.7B,BoolQ
run_32_repetition_26,DONE,3,8B,BoolQ
run_79_repetition_17,DONE,4-scout,17B,WSC
run_25_repetition_19,DONE,2,13B,CB
run_33_repetition_22,DONE,3,8B,CB
run_15_repetition_18,DONE,1,13B,WSC
run_70_repetition_17,DONE,3.2,11B,WiC
run_31_repetition_9,DONE,2,13B,WSC
run_15_repetition_15,DONE,1,13B,WSC
run_51_repetition_22,DONE,3.2,1B,MultiRC
run_20_repetition_17,DONE,2,6.7B,ReCoRD
run_25_repetition_26,DONE,2,13B,CB
run_59_repetition_23,DONE,3.2,3B,MultiRC
run_36_repetition_10,DONE,3,8B,ReCoRD
run_66_repetition_18,DONE,3.2,11B,COPA
run_1_repetition_8,DONE,1,6.7B,CB
run_47_repetition_22,DONE,3.1,8B,WSC
run_8_repetition_25,DONE,1,13B,BoolQ
run_59_repetition_19,DONE,3.2,3B,MultiRC
run_38_repetition_2,DONE,3,8B,WiC
run_12_repetition_28,DONE,1,13B,ReCoRD
run_58_repetition_8,DONE,3.2,3B,COPA
run_60_repetition_21,DONE,3.2,3B,ReCoRD
run_51_repetition_7,DONE,3.2,1B,MultiRC
run_34_repetition_18,DONE,3,8B,COPA
run_64_repetition_16,DONE,3.2,11B,BoolQ
run_11_repetition_5,DONE,1,13B,MultiRC
run_60_repetition_9,DONE,3.2,3B,ReCoRD
run_61_repetition_22,DONE,3.2,3B,RTE
run_9_repetition_8,DONE,1,13B,CB
run_82_repetition_19,DONE,4-maverick,17B,COPA
run_66_repetition_14,DONE,3.2,11B,COPA
run_29_repetition_5,DONE,2,13B,RTE
run_45_repetition_7,DONE,3.1,8B,RTE
run_79_repetition_29,DONE,4-scout,17B,WSC
run_86_repetition_8,DONE,4-maverick,17B,WiC
run_84_repetition_0,DONE,4-maverick,17B,ReCoRD
run_86_repetition_5,DONE,4-maverick,17B,WiC
run_82_repetition_28,DONE,4-maverick,17B,COPA
run_53_repetition_11,DONE,3.2,1B,RTE
run_57_repetition_9,DONE,3.2,3B,CB
run_2_repetition_12,DONE,1,6.7B,COPA
run_29_repetition_4,DONE,2,13B,RTE
run_31_repetition_1,DONE,2,13B,WSC
run_30_repetition_6,DONE,2,13B,WiC
run_54_repetition_14,DONE,3.2,1B,WiC
run_62_repetition_13,DONE,3.2,3B,WiC
run_20_repetition_24,DONE,2,6.7B,ReCoRD
run_66_repetition_26,DONE,3.2,11B,COPA
run_63_repetition_8,DONE,3.2,3B,WSC
run_15_repetition_27,DONE,1,13B,WSC
run_36_repetition_18,DONE,3,8B,ReCoRD
run_68_repetition_10,DONE,3.2,11B,ReCoRD
run_86_repetition_14,DONE,4-maverick,17B,WiC
run_49_repetition_24,DONE,3.2,1B,CB
run_12_repetition_14,DONE,1,13B,ReCoRD
run_22_repetition_14,DONE,2,6.7B,WiC
run_40_repetition_7,DONE,3.1,8B,BoolQ
run_68_repetition_23,DONE,3.2,11B,ReCoRD
run_23_repetition_27,DONE,2,6.7B,WSC
run_55_repetition_5,DONE,3.2,1B,WSC
run_5_repetition_2,DONE,1,6.7B,RTE
run_17_repetition_22,DONE,2,6.7B,CB
run_84_repetition_25,DONE,4-maverick,17B,ReCoRD
run_56_repetition_0,DONE,3.2,3B,BoolQ
run_60_repetition_17,DONE,3.2,3B,ReCoRD
run_76_repetition_19,DONE,4-scout,17B,ReCoRD
run_55_repetition_15,DONE,3.2,1B,WSC
run_80_repetition_1,DONE,4-maverick,17B,BoolQ
run_6_repetition_15,DONE,1,6.7B,WiC
run_60_repetition_18,DONE,3.2,3B,ReCoRD
run_73_repetition_8,DONE,4-scout,17B,CB
run_57_repetition_10,DONE,3.2,3B,CB
run_56_repetition_25,DONE,3.2,3B,BoolQ
run_4_repetition_11,DONE,1,6.7B,ReCoRD
run_6_repetition_2,DONE,1,6.7B,WiC
run_27_repetition_14,DONE,2,13B,MultiRC
run_78_repetition_11,DONE,4-scout,17B,WiC
run_72_repetition_2,DONE,4-scout,17B,BoolQ
run_57_repetition_3,DONE,3.2,3B,CB
run_26_repetition_18,DONE,2,13B,COPA
run_24_repetition_24,DONE,2,13B,BoolQ
run_33_repetition_27,DONE,3,8B,CB
run_29_repetition_29,DONE,2,13B,RTE
run_17_repetition_5,DONE,2,6.7B,CB
run_81_repetition_9,DONE,4-maverick,17B,CB
run_78_repetition_10,DONE,4-scout,17B,WiC
run_46_repetition_6,DONE,3.1,8B,WiC
run_44_repetition_13,DONE,3.1,8B,ReCoRD
run_2_repetition_3,DONE,1,6.7B,COPA
run_61_repetition_18,DONE,3.2,3B,RTE
run_78_repetition_2,DONE,4-scout,17B,WiC
run_2_repetition_2,DONE,1,6.7B,COPA
run_1_repetition_23,DONE,1,6.7B,CB
run_13_repetition_0,DONE,1,13B,RTE
run_27_repetition_2,DONE,2,13B,MultiRC
run_32_repetition_7,DONE,3,8B,BoolQ
run_23_repetition_17,DONE,2,6.7B,WSC
run_34_repetition_10,DONE,3,8B,COPA
run_34_repetition_1,DONE,3,8B,COPA
run_80_repetition_9,DONE,4-maverick,17B,BoolQ
run_24_repetition_11,DONE,2,13B,BoolQ
run_7_repetition_1,DONE,1,6.7B,WSC
run_75_repetition_29,DONE,4-scout,17B,MultiRC
run_10_repetition_29,DONE,1,13B,COPA
run_20_repetition_5,DONE,2,6.7B,ReCoRD
run_21_repetition_0,DONE,2,6.7B,RTE
run_67_repetition_28,DONE,3.2,11B,MultiRC
run_33_repetition_26,DONE,3,8B,CB
run_41_repetition_27,DONE,3.1,8B,CB
run_69_repetition_13,DONE,3.2,11B,RTE
run_74_repetition_17,DONE,4-scout,17B,COPA
run_5_repetition_25,DONE,1,6.7B,RTE
run_4_repetition_7,DONE,1,6.7B,ReCoRD
run_39_repetition_28,DONE,3,8B,WSC
run_32_repetition_17,DONE,3,8B,BoolQ
run_80_repetition_5,DONE,4-maverick,17B,BoolQ
run_60_repetition_27,DONE,3.2,3B,ReCoRD
run_6_repetition_10,DONE,1,6.7B,WiC
run_9_repetition_10,DONE,1,13B,CB
run_16_repetition_25,DONE,2,6.7B,BoolQ
run_37_repetition_2,DONE,3,8B,RTE
run_13_repetition_25,DONE,1,13B,RTE
run_62_repetition_20,DONE,3.2,3B,WiC
run_54_repetition_2,DONE,3.2,1B,WiC
run_30_repetition_16,DONE,2,13B,WiC
run_19_repetition_2,DONE,2,6.7B,MultiRC
run_69_repetition_6,DONE,3.2,11B,RTE
run_48_repetition_3,DONE,3.2,1B,BoolQ
run_13_repetition_1,DONE,1,13B,RTE
run_52_repetition_20,DONE,3.2,1B,ReCoRD
run_72_repetition_12,DONE,4-scout,17B,BoolQ
run_30_repetition_2,DONE,2,13B,WiC
run_50_repetition_4,DONE,3.2,1B,COPA
run_30_repetition_17,DONE,2,13B,WiC
run_3_repetition_29,DONE,1,6.7B,MultiRC
run_70_repetition_23,DONE,3.2,11B,WiC
run_72_repetition_6,DONE,4-scout,17B,BoolQ
run_84_repetition_7,DONE,4-maverick,17B,ReCoRD
run_81_repetition_17,DONE,4-maverick,17B,CB
run_26_repetition_4,DONE,2,13B,COPA
run_56_repetition_13,DONE,3.2,3B,BoolQ
run_44_repetition_17,DONE,3.1,8B,ReCoRD
run_37_repetition_19,DONE,3,8B,RTE
run_23_repetition_4,DONE,2,6.7B,WSC
run_1_repetition_26,DONE,1,6.7B,CB
run_55_repetition_27,DONE,3.2,1B,WSC
run_56_repetition_6,DONE,3.2,3B,BoolQ
run_23_repetition_21,DONE,2,6.7B,WSC
run_12_repetition_8,DONE,1,13B,ReCoRD
run_68_repetition_24,DONE,3.2,11B,ReCoRD
run_60_repetition_7,DONE,3.2,3B,ReCoRD
run_67_repetition_1,DONE,3.2,11B,MultiRC
run_81_repetition_6,DONE,4-maverick,17B,CB
run_60_repetition_6,DONE,3.2,3B,ReCoRD
run_61_repetition_24,DONE,3.2,3B,RTE
run_39_repetition_21,DONE,3,8B,WSC
run_5_repetition_22,DONE,1,6.7B,RTE
run_30_repetition_12,DONE,2,13B,WiC
run_9_repetition_28,DONE,1,13B,CB
run_20_repetition_20,DONE,2,6.7B,ReCoRD
run_2_repetition_26,DONE,1,6.7B,COPA
run_61_repetition_14,DONE,3.2,3B,RTE
run_80_repetition_15,DONE,4-maverick,17B,BoolQ
run_5_repetition_12,DONE,1,6.7B,RTE
run_43_repetition_21,DONE,3.1,8B,MultiRC
run_44_repetition_20,DONE,3.1,8B,ReCoRD
run_83_repetition_7,DONE,4-maverick,17B,MultiRC
run_4_repetition_2,DONE,1,6.7B,ReCoRD
run_14_repetition_9,DONE,1,13B,WiC
run_53_repetition_7,DONE,3.2,1B,RTE
run_80_repetition_24,DONE,4-maverick,17B,BoolQ
run_35_repetition_0,DONE,3,8B,MultiRC
run_5_repetition_17,DONE,1,6.7B,RTE
run_2_repetition_11,DONE,1,6.7B,COPA
run_51_repetition_4,DONE,3.2,1B,MultiRC
run_26_repetition_17,DONE,2,13B,COPA
run_81_repetition_10,DONE,4-maverick,17B,CB
run_54_repetition_12,DONE,3.2,1B,WiC
run_78_repetition_24,DONE,4-scout,17B,WiC
run_18_repetition_28,DONE,2,6.7B,COPA
run_33_repetition_29,DONE,3,8B,CB
run_80_repetition_21,DONE,4-maverick,17B,BoolQ
run_78_repetition_3,DONE,4-scout,17B,WiC
run_76_repetition_21,DONE,4-scout,17B,ReCoRD
run_83_repetition_20,DONE,4-maverick,17B,MultiRC
run_5_repetition_15,DONE,1,6.7B,RTE
run_76_repetition_15,DONE,4-scout,17B,ReCoRD
run_25_repetition_22,DONE,2,13B,CB
run_31_repetition_16,DONE,2,13B,WSC
run_49_repetition_13,DONE,3.2,1B,CB
run_8_repetition_16,DONE,1,13B,BoolQ
run_19_repetition_21,DONE,2,6.7B,MultiRC
run_12_repetition_29,DONE,1,13B,ReCoRD
run_78_repetition_17,DONE,4-scout,17B,WiC
run_78_repetition_7,DONE,4-scout,17B,WiC
run_9_repetition_25,DONE,1,13B,CB
run_4_repetition_3,DONE,1,6.7B,ReCoRD
run_81_repetition_28,DONE,4-maverick,17B,CB
run_10_repetition_9,DONE,1,13B,COPA
run_15_repetition_16,DONE,1,13B,WSC
run_29_repetition_6,DONE,2,13B,RTE
run_68_repetition_12,DONE,3.2,11B,ReCoRD
run_10_repetition_4,DONE,1,13B,COPA
run_27_repetition_18,DONE,2,13B,MultiRC
run_39_repetition_26,DONE,3,8B,WSC
run_56_repetition_17,DONE,3.2,3B,BoolQ
run_76_repetition_25,DONE,4-scout,17B,ReCoRD
run_22_repetition_18,DONE,2,6.7B,WiC
run_65_repetition_7,DONE,3.2,11B,CB
run_63_repetition_24,DONE,3.2,3B,WSC
run_9_repetition_4,DONE,1,13B,CB
run_36_repetition_25,DONE,3,8B,ReCoRD
run_11_repetition_18,DONE,1,13B,MultiRC
run_44_repetition_1,DONE,3.1,8B,ReCoRD
run_5_repetition_23,DONE,1,6.7B,RTE
run_59_repetition_1,DONE,3.2,3B,MultiRC
run_39_repetition_24,DONE,3,8B,WSC
run_86_repetition_26,DONE,4-maverick,17B,WiC
run_50_repetition_7,DONE,3.2,1B,COPA
run_67_repetition_6,DONE,3.2,11B,MultiRC
run_81_repetition_2,DONE,4-maverick,17B,CB
run_35_repetition_6,DONE,3,8B,MultiRC
run_52_repetition_9,DONE,3.2,1B,ReCoRD
run_28_repetition_27,DONE,2,13B,ReCoRD
run_36_repetition_27,DONE,3,8B,ReCoRD
run_11_repetition_4,DONE,1,13B,MultiRC
run_15_repetition_19,DONE,1,13B,WSC
run_76_repetition_5,DONE,4-scout,17B,ReCoRD
run_67_repetition_29,DONE,3.2,11B,MultiRC
run_51_repetition_19,DONE,3.2,1B,MultiRC
run_46_repetition_3,DONE,3.1,8B,WiC
run_35_repetition_10,DONE,3,8B,MultiRC
run_63_repetition_28,DONE,3.2,3B,WSC
run_70_repetition_7,DONE,3.2,11B,WiC
run_54_repetition_24,DONE,3.2,1B,WiC
run_69_repetition_12,DONE,3.2,11B,RTE
run_45_repetition_22,DONE,3.1,8B,RTE
run_73_repetition_21,DONE,4-scout,17B,CB
run_75_repetition_13,DONE,4-scout,17B,MultiRC
run_86_repetition_16,DONE,4-maverick,17B,WiC
run_72_repetition_21,DONE,4-scout,17B,BoolQ
run_17_repetition_20,DONE,2,6.7B,CB
run_13_repetition_26,DONE,1,13B,RTE
run_78_repetition_13,DONE,4-scout,17B,WiC
run_26_repetition_29,DONE,2,13B,COPA
run_53_repetition_26,DONE,3.2,1B,RTE
run_65_repetition_5,DONE,3.2,11B,CB
run_43_repetition_9,DONE,3.1,8B,MultiRC
run_61_repetition_4,DONE,3.2,3B,RTE
run_43_repetition_4,DONE,3.1,8B,MultiRC
run_12_repetition_3,DONE,1,13B,ReCoRD
run_69_repetition_10,DONE,3.2,11B,RTE
run_21_repetition_8,DONE,2,6.7B,RTE
run_28_repetition_15,DONE,2,13B,ReCoRD
run_24_repetition_8,DONE,2,13B,BoolQ
run_5_repetition_9,DONE,1,6.7B,RTE
run_85_repetition_20,DONE,4-maverick,17B,RTE
run_20_repetition_26,DONE,2,6.7B,ReCoRD
run_20_repetition_21,DONE,2,6.7B,ReCoRD
run_87_repetition_3,DONE,4-maverick,17B,WSC
run_42_repetition_0,DONE,3.1,8B,COPA
run_84_repetition_1,DONE,4-maverick,17B,ReCoRD
run_38_repetition_5,DONE,3,8B,WiC
run_49_repetition_17,DONE,3.2,1B,CB
run_50_repetition_15,DONE,3.2,1B,COPA
run_7_repetition_15,DONE,1,6.7B,WSC
run_13_repetition_8,DONE,1,13B,RTE
run_62_repetition_9,DONE,3.2,3B,WiC
run_22_repetition_23,DONE,2,6.7B,WiC
run_33_repetition_25,DONE,3,8B,CB
run_58_repetition_29,DONE,3.2,3B,COPA
run_87_repetition_26,DONE,4-maverick,17B,WSC
run_46_repetition_24,DONE,3.1,8B,WiC
run_18_repetition_6,DONE,2,6.7B,COPA
run_27_repetition_10,DONE,2,13B,MultiRC
run_51_repetition_27,DONE,3.2,1B,MultiRC
run_36_repetition_22,DONE,3,8B,ReCoRD
run_64_repetition_22,DONE,3.2,11B,BoolQ
run_55_repetition_21,DONE,3.2,1B,WSC
run_47_repetition_23,DONE,3.1,8B,WSC
run_7_repetition_0,DONE,1,6.7B,WSC
run_71_repetition_25,DONE,3.2,11B,WSC
run_36_repetition_0,DONE,3,8B,ReCoRD
run_77_repetition_16,DONE,4-scout,17B,RTE
run_18_repetition_25,DONE,2,6.7B,COPA
run_23_repetition_3,DONE,2,6.7B,WSC
run_77_repetition_24,DONE,4-scout,17B,RTE
run_29_repetition_8,DONE,2,13B,RTE
run_34_repetition_3,DONE,3,8B,COPA
run_27_repetition_1,DONE,2,13B,MultiRC
run_24_repetition_2,DONE,2,13B,BoolQ
run_12_repetition_24,DONE,1,13B,ReCoRD
run_9_repetition_5,DONE,1,13B,CB
run_12_repetition_25,DONE,1,13B,ReCoRD
run_16_repetition_4,DONE,2,6.7B,BoolQ
run_26_repetition_6,DONE,2,13B,COPA
run_43_repetition_16,DONE,3.1,8B,MultiRC
run_54_repetition_6,DONE,3.2,1B,WiC
run_0_repetition_7,DONE,1,6.7B,BoolQ
run_15_repetition_20,DONE,1,13B,WSC
run_71_repetition_12,DONE,3.2,11B,WSC
run_23_repetition_14,DONE,2,6.7B,WSC
run_7_repetition_4,DONE,1,6.7B,WSC
run_63_repetition_10,DONE,3.2,3B,WSC
run_83_repetition_11,DONE,4-maverick,17B,MultiRC
run_67_repetition_16,DONE,3.2,11B,MultiRC
run_66_repetition_4,DONE,3.2,11B,COPA
run_9_repetition_1,DONE,1,13B,CB
run_41_repetition_28,DONE,3.1,8B,CB
run_78_repetition_14,DONE,4-scout,17B,WiC
run_43_repetition_12,DONE,3.1,8B,MultiRC
run_68_repetition_27,DONE,3.2,11B,ReCoRD
run_14_repetition_10,DONE,1,13B,WiC
run_28_repetition_13,DONE,2,13B,ReCoRD
run_85_repetition_16,DONE,4-maverick,17B,RTE
run_48_repetition_23,DONE,3.2,1B,BoolQ
run_59_repetition_15,DONE,3.2,3B,MultiRC
run_63_repetition_15,DONE,3.2,3B,WSC
run_50_repetition_17,DONE,3.2,1B,COPA
run_42_repetition_19,DONE,3.1,8B,COPA
run_31_repetition_10,DONE,2,13B,WSC
run_33_repetition_2,DONE,3,8B,CB
run_24_repetition_6,DONE,2,13B,BoolQ
run_10_repetition_20,DONE,1,13B,COPA
run_77_repetition_6,DONE,4-scout,17B,RTE
run_40_repetition_4,DONE,3.1,8B,BoolQ
run_24_repetition_22,DONE,2,13B,BoolQ
run_65_repetition_3,DONE,3.2,11B,CB
run_68_repetition_25,DONE,3.2,11B,ReCoRD
run_85_repetition_8,DONE,4-maverick,17B,RTE
run_70_repetition_21,DONE,3.2,11B,WiC
run_72_repetition_4,DONE,4-scout,17B,BoolQ
run_55_repetition_28,DONE,3.2,1B,WSC
run_37_repetition_9,DONE,3,8B,RTE
run_82_repetition_23,DONE,4-maverick,17B,COPA
run_77_repetition_10,DONE,4-scout,17B,RTE
run_7_repetition_25,DONE,1,6.7B,WSC
run_68_repetition_4,DONE,3.2,11B,ReCoRD
run_58_repetition_7,DONE,3.2,3B,COPA
run_70_repetition_1,DONE,3.2,11B,WiC
run_22_repetition_11,DONE,2,6.7B,WiC
run_61_repetition_12,DONE,3.2,3B,RTE
run_5_repetition_26,DONE,1,6.7B,RTE
run_11_repetition_23,DONE,1,13B,MultiRC
run_24_repetition_20,DONE,2,13B,BoolQ
run_67_repetition_12,DONE,3.2,11B,MultiRC
run_71_repetition_2,DONE,3.2,11B,WSC
run_6_repetition_23,DONE,1,6.7B,WiC
run_85_repetition_14,DONE,4-maverick,17B,RTE
run_37_repetition_29,DONE,3,8B,RTE
run_77_repetition_21,DONE,4-scout,17B,RTE
run_19_repetition_10,DONE,2,6.7B,MultiRC
run_0_repetition_25,DONE,1,6.7B,BoolQ
run_2_repetition_22,DONE,1,6.7B,COPA
run_15_repetition_28,DONE,1,13B,WSC
run_1_repetition_13,DONE,1,6.7B,CB
run_33_repetition_20,DONE,3,8B,CB
run_7_repetition_12,DONE,1,6.7B,WSC
run_52_repetition_25,DONE,3.2,1B,ReCoRD
run_73_repetition_10,DONE,4-scout,17B,CB
run_69_repetition_23,DONE,3.2,11B,RTE
run_54_repetition_26,DONE,3.2,1B,WiC
run_29_repetition_28,DONE,2,13B,RTE
run_43_repetition_13,DONE,3.1,8B,MultiRC
run_31_repetition_14,DONE,2,13B,WSC
run_14_repetition_2,DONE,1,13B,WiC
run_18_repetition_20,DONE,2,6.7B,COPA
run_0_repetition_8,DONE,1,6.7B,BoolQ
run_24_repetition_9,DONE,2,13B,BoolQ
run_82_repetition_29,DONE,4-maverick,17B,COPA
run_34_repetition_17,DONE,3,8B,COPA
run_43_repetition_29,DONE,3.1,8B,MultiRC
run_7_repetition_16,DONE,1,6.7B,WSC
run_20_repetition_0,DONE,2,6.7B,ReCoRD
run_34_repetition_20,DONE,3,8B,COPA
run_1_repetition_15,DONE,1,6.7B,CB
run_15_repetition_14,DONE,1,13B,WSC
run_34_repetition_26,DONE,3,8B,COPA
run_52_repetition_1,DONE,3.2,1B,ReCoRD
run_38_repetition_6,DONE,3,8B,WiC
run_11_repetition_11,DONE,1,13B,MultiRC
run_57_repetition_29,DONE,3.2,3B,CB
run_61_repetition_29,DONE,3.2,3B,RTE
run_24_repetition_7,DONE,2,13B,BoolQ
run_52_repetition_28,DONE,3.2,1B,ReCoRD
run_51_repetition_2,DONE,3.2,1B,MultiRC
run_45_repetition_15,DONE,3.1,8B,RTE
run_27_repetition_4,DONE,2,13B,MultiRC
run_84_repetition_23,DONE,4-maverick,17B,ReCoRD
run_9_repetition_13,DONE,1,13B,CB
run_6_repetition_4,DONE,1,6.7B,WiC
run_35_repetition_25,DONE,3,8B,MultiRC
run_80_repetition_8,DONE,4-maverick,17B,BoolQ
run_66_repetition_22,DONE,3.2,11B,COPA
run_49_repetition_25,DONE,3.2,1B,CB
run_21_repetition_6,DONE,2,6.7B,RTE
run_22_repetition_15,DONE,2,6.7B,WiC
run_78_repetition_16,DONE,4-scout,17B,WiC
run_78_repetition_15,DONE,4-scout,17B,WiC
run_79_repetition_23,DONE,4-scout,17B,WSC
run_76_repetition_28,DONE,4-scout,17B,ReCoRD
run_50_repetition_1,DONE,3.2,1B,COPA
run_60_repetition_0,DONE,3.2,3B,ReCoRD
run_49_repetition_20,DONE,3.2,1B,CB
run_58_repetition_9,DONE,3.2,3B,COPA
run_72_repetition_8,DONE,4-scout,17B,BoolQ
run_10_repetition_23,DONE,1,13B,COPA
run_34_repetition_8,DONE,3,8B,COPA
run_3_repetition_21,DONE,1,6.7B,MultiRC
run_37_repetition_17,DONE,3,8B,RTE
run_14_repetition_1,DONE,1,13B,WiC
run_21_repetition_28,DONE,2,6.7B,RTE
run_60_repetition_2,DONE,3.2,3B,ReCoRD
run_6_repetition_6,DONE,1,6.7B,WiC
run_74_repetition_5,DONE,4-scout,17B,COPA
run_30_repetition_0,DONE,2,13B,WiC
run_31_repetition_20,DONE,2,13B,WSC
run_6_repetition_16,DONE,1,6.7B,WiC
run_1_repetition_12,DONE,1,6.7B,CB
run_72_repetition_15,DONE,4-scout,17B,BoolQ
run_53_repetition_0,DONE,3.2,1B,RTE
run_2_repetition_21,DONE,1,6.7B,COPA
run_56_repetition_2,DONE,3.2,3B,BoolQ
run_59_repetition_4,DONE,3.2,3B,MultiRC
run_14_repetition_22,DONE,1,13B,WiC
run_76_repetition_4,DONE,4-scout,17B,ReCoRD
run_30_repetition_29,DONE,2,13B,WiC
run_38_repetition_12,DONE,3,8B,WiC
run_58_repetition_18,DONE,3.2,3B,COPA
run_57_repetition_18,DONE,3.2,3B,CB
run_77_repetition_11,DONE,4-scout,17B,RTE
run_18_repetition_7,DONE,2,6.7B,COPA
run_51_repetition_5,DONE,3.2,1B,MultiRC
run_67_repetition_7,DONE,3.2,11B,MultiRC
run_82_repetition_3,DONE,4-maverick,17B,COPA
run_1_repetition_10,DONE,1,6.7B,CB
run_52_repetition_27,DONE,3.2,1B,ReCoRD
run_23_repetition_5,DONE,2,6.7B,WSC
run_10_repetition_3,DONE,1,13B,COPA
run_26_repetition_20,DONE,2,13B,COPA
run_69_repetition_18,DONE,3.2,11B,RTE
run_13_repetition_16,DONE,1,13B,RTE
run_86_repetition_17,DONE,4-maverick,17B,WiC
run_14_repetition_26,DONE,1,13B,WiC
run_32_repetition_11,DONE,3,8B,BoolQ
run_36_repetition_6,DONE,3,8B,ReCoRD
run_40_repetition_8,DONE,3.1,8B,BoolQ
run_7_repetition_3,DONE,1,6.7B,WSC
run_84_repetition_8,DONE,4-maverick,17B,ReCoRD
run_45_repetition_23,DONE,3.1,8B,RTE
run_78_repetition_21,DONE,4-scout,17B,WiC
run_46_repetition_15,DONE,3.1,8B,WiC
run_50_repetition_22,DONE,3.2,1B,COPA
run_47_repetition_12,DONE,3.1,8B,WSC
run_87_repetition_2,DONE,4-maverick,17B,WSC
run_69_repetition_7,DONE,3.2,11B,RTE
run_63_repetition_12,DONE,3.2,3B,WSC
run_38_repetition_21,DONE,3,8B,WiC
run_72_repetition_10,DONE,4-scout,17B,BoolQ
run_18_repetition_14,DONE,2,6.7B,COPA
run_46_repetition_28,DONE,3.1,8B,WiC
run_16_repetition_8,DONE,2,6.7B,BoolQ
run_25_repetition_12,DONE,2,13B,CB
run_80_repetition_13,DONE,4-maverick,17B,BoolQ
run_7_repetition_17,DONE,1,6.7B,WSC
run_24_repetition_16,DONE,2,13B,BoolQ
run_77_repetition_27,DONE,4-scout,17B,RTE
run_15_repetition_7,DONE,1,13B,WSC
run_32_repetition_13,DONE,3,8B,BoolQ
run_84_repetition_11,DONE,4-maverick,17B,ReCoRD
run_79_repetition_15,DONE,4-scout,17B,WSC
run_79_repetition_6,DONE,4-scout,17B,WSC
run_26_repetition_2,DONE,2,13B,COPA
run_76_repetition_17,DONE,4-scout,17B,ReCoRD
run_32_repetition_20,DONE,3,8B,BoolQ
run_87_repetition_8,DONE,4-maverick,17B,WSC
run_58_repetition_26,DONE,3.2,3B,COPA
run_64_repetition_17,DONE,3.2,11B,BoolQ
run_39_repetition_7,DONE,3,8B,WSC
run_47_repetition_21,DONE,3.1,8B,WSC
run_87_repetition_21,DONE,4-maverick,17B,WSC
run_79_repetition_25,DONE,4-scout,17B,WSC
run_57_repetition_13,DONE,3.2,3B,CB
run_24_repetition_14,DONE,2,13B,BoolQ
